State,GunLawStrength
California,86.5
New York,81.5
Hawaii,79.5
New Jersey,79
Connecticut,78.5
Massachusetts,78
Illinois,77
Maryland,72.5
Oregon,66.5
Washington,62.5
Delaware,60
Colorado,58.5
Rhode Island,57.5
Virginia,49
Pennsylvania,40
New Mexico,39.5
Minnesota,38.5
Nevada,35
Florida,33.5
Vermont,32.5
North Carolina,31
Nebraska,31
Wisconsin,28
Michigan,25.5
Maine,20.5
Louisiana,20.5
West Virginia,20
South Carolina,18
Tennessee,16.5
Indiana,16.5
Iowa,15.5
Texas,13.5
Ohio,13
Alabama,12.5
North Dakota,11.5
Utah,11
Kansas,9.5
Missouri,9
New Hampshire,9
Kentucky,9
Alaska,9
Arizona,8.5
Oklahoma,7.5
Wyoming,6.5
South Dakota,5.5
Montana,5
Georgia,5
Idaho,5
Arkansas,4.5
Mississippi,3
